Title,AccessID,Location,Comments,PhotoLink,CaptureDate,PublicPhotoUrl,PhotoType,Crop,CropStage,VisitId,PhotoOrder,VisitScore
AAJY07NLCEJS-Access-20260911T155512Z-1,AAJY07NLCEJS,Las Cejas,"<div class=""ExternalClass8DDB5D5466B14C61B53971F39677C166""><p class=""editor-paragraph"">prueba</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQAtls2C4-7ZTpIXqaBQ0pk6Ae27VvJZEhgg5uPvliotHKs,2026-09-11T15:55:12Z,https://laar-testing-ar.github.io/field-trial-master-platform/images/access/AAJY07NLCEJS/AAJY07NLCEJS-Access-20260911T155512Z-1.png,Access,Mustard - Stewarded,,AAJY07NLCEJS-Access-20260911T155512Z,1,
AAJY07NLCEJS-Access-20260911T201243Z-1,AAJY07NLCEJS,Las Cejas,"<div class=""ExternalClass466DD525260A476D8EF72A66E7DBD320""><p class=""editor-paragraph"">Ejemplo en android</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQAinapBbp33T4Vep6L28URAATyyVs10eKdEuXixHJ65bqA,2026-09-11T20:12:43Z,https://laar-testing-ar.github.io/field-trial-master-platform/images/access/AAJY07NLCEJS/AAJY07NLCEJS-Access-20260911T201243Z-1.jpg,Access,Mustard - Stewarded,,AAJY07NLCEJS-Access-20260911T201243Z,1,
AAJY07NLCEJS-Access-20260911T230953Z-1,AAJY07NLCEJS,Las Cejas,"<div class=""ExternalClass8514DC3A496846CD884E45C37DDCB75B""><p class=""editor-paragraph"">Prieba</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQAJV53hAiodSoqOmeUNUV21AYvY8gob_42BQLDZQIbQrno,2026-09-11T23:09:53Z,https://laar-testing-ar.github.io/field-trial-master-platform/images/access/AAJY07NLCEJS/AAJY07NLCEJS-Access-20260911T230953Z-1.jpg,Access,Mustard - Stewarded,,AAJY07NLCEJS-Access-20260911T230953Z,1,
AAJY07NLCEJS-Access-20260911T231841Z-1,AAJY07NLCEJS,Las Cejas,"<div class=""ExternalClass21628D07BBD842D99FF794FC4ABEEE26""><p class=""editor-paragraph""></p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQCkVvAXDJLYSLy8rqiV211CAaTbeZ8qhQqhQ4YsO67DSiw,2026-09-11T23:18:41Z,https://laar-testing-ar.github.io/field-trial-master-platform/images/access/AAJY07NLCEJS/AAJY07NLCEJS-Access-20260911T231841Z-1.jpg,Access,Mustard - Stewarded,,AAJY07NLCEJS-Access-20260911T231841Z,1,
AAJY07NLCEJS-Access-20260911T233019Z-1,AAJY07NLCEJS,Las Cejas,"<div class=""ExternalClass463AD418873345EA95798BF7B97E4C15""><p class=""editor-paragraph"">Prueba sincronizada</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQB7NWh5XhYWS6jv96iv2JvpAVtGO_7Y4nRZoXU977DE258,2026-09-11T23:30:19Z,https://laar-testing-ar.github.io/field-trial-master-platform/images/access/AAJY07NLCEJS/AAJY07NLCEJS-Access-20260911T233019Z-1.jpg,Access,Mustard - Stewarded,,AAJY07NLCEJS-Access-20260911T233019Z,1,
ANCY04NLCEJT-Trial-20260912T190313Z-1,ANCY04NLCEJT,Las Cejas,"<div class=""ExternalClass7F2885ECC9A64CE8B6A7AD9D4AF36B12""><p class=""editor-paragraph"">prueba app</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQCABn-zNJMBRqt0KZ4hcRdyATXtr0ic3KnhxNDnllIxNh0,2026-09-12T19:03:13Z,https://laar-testing-ar.github.io/field-trial-master-platform/images/trial/ANCY04NLCEJT/ANCY04NLCEJT-Trial-20260912T190313Z-1.jpeg,Trial,Corn,V2,ANCY04NLCEJT-Trial-20260912T190313Z,1,7
ANCY04NLCEJT-Trial-20260912T225657Z-1,ANCY04NLCEJT,Las Cejas,"<div class=""ExternalClass601FDECE720E46CBBCCF65C74E17A29F""><p class=""editor-paragraph"">prueba timeline</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQDWURpVfXcFSYwxMfH-bfQSARWWB81tfX4LryQNOiw_fms,2026-09-12T22:56:57Z,https://laar-testing-ar.github.io/field-trial-master-platform/images/trial/ANCY04NLCEJT/ANCY04NLCEJT-Trial-20260912T225657Z-1.jpeg,Trial,Corn,V2,ANCY04NLCEJT-Trial-20260912T225657Z,1,7
ANCY04NLCEJT-Trial-20260912T230457Z-1,ANCY04NLCEJT,Las Cejas,"<div class=""ExternalClassC6EFA2FEA02A45EB8A923BEF0BF6E3D0""><p class=""editor-paragraph"">timeline test</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQBE1N4VcET2Q4E6I1cKQaLXAX3Ox_KWJHIMlIHMAya99ho,2026-09-12T23:04:57Z,https://laar-testing-ar.github.io/field-trial-master-platform/images/trial/ANCY04NLCEJT/ANCY04NLCEJT-Trial-20260912T230457Z-1.jpeg,Trial,Corn,V2,ANCY04NLCEJT-Trial-20260912T230457Z,1,8
ANCY04NLCEJT-Trial-20260913T001802Z-1,ANCY04NLCEJT,Las Cejas,"<div class=""ExternalClass5B911A7C63CF460F8403AEBA28AB2F35""><p class=""editor-paragraph"">fluio lab</p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQDZT_I28XL4QKeNnIE48q1HAcfcigLb1wUOD6zqMJear7Q,2026-09-13T00:18:02Z,https://laar-testing-ar.github.io/field-trial-platform/images/trial/ANCY04NLCEJT/ANCY04NLCEJT-Trial-20260913T001802Z-1.jpeg,Trial,Corn,V2,ANCY04NLCEJT-Trial-20260913T001802Z,1,7
ANCY04NLCEJT-Trial-20260913T004308Z-1,ANCY04NLCEJT,Las Cejas,"<div class=""ExternalClass210313754F724C94B142117E314686C4""><p class=""editor-paragraph""></p></div>",https://agcompany.sharepoint.com/:i:/t/ridarg_indxactividad/IQBV63mtKkbuTIueMh5IB2OYATM8ynHk20H5E9LHrP-M79I,2026-09-13T00:43:08Z,https://laar-testing-ar.github.io/field-trial-platform/images/trial/ANCY04NLCEJT/ANCY04NLCEJT-Trial-20260913T004308Z-1.jpeg,Trial,Corn,V2,ANCY04NLCEJT-Trial-20260913T004308Z,1,8
